z,dens
-29.5,1.1801775654336153
-28.5,1.2084380666604602
-27.5,1.241034684591334
-26.5,1.2785355330735149
-25.5,1.3216409811660967
-24.5,1.3712254033903069
-23.5,1.4283967674983162
-22.5,1.494584489699573
-21.5,1.5716739099418007
-20.5,1.6622214408501947
-19.5,1.7698176176948215
-18.5,1.8997409151876732
-17.5,2.0602342682341885
-16.5,2.2652655178602075
-15.5,2.5413421580940705
-14.5,2.9475853770130733
-13.5,3.650722886017692
-12.5,5.266937588646075
-11.5,15.703739313323187
-10.5,6.202863622871047
-9.5,5.294367646579211
-8.5,22.998646725678903
-7.5,35.13378908679162
-6.5,37.619695412119405
-5.5,24.575372652064527
-4.5,49.44762650061733
-3.5,28.965565561041313
-2.5,85.23784211624134
-1.5,99.51244707673574
-0.5,1103.6541300708238
0.5,2085.567313580436
1.5,762.5618885427251
2.5,54.64366392839789
3.5,27.02690209387696
4.5,1.2128636982774677
5.5,2.570289239903475
6.5,1.57514665173148
7.5,1.2140908953768583
8.5,1.0924113499371075
9.5,1.0634828406098902
10.5,1.0629119913725142
11.5,1.0678334047037752
12.5,1.0715326357274289
13.5,1.072763388046155
14.5,1.0719329488034401
15.5,1.0698221838774737
16.5,1.0671847770120684
17.5,1.0646455047713685
18.5,1.0626960825428375
19.5,1.0617186761165938
20.5,1.0620134792354043
21.5,1.0638231963554767
22.5,1.0673530139321525
23.5,1.0727865128191638
24.5,1.0802984570326544
25.5,1.0900654118317525
26.5,1.102275037798453
27.5,1.117134800761377
28.5,1.1348807734017432
29.5,1.155787200149286
