z,dens
-29.5,4.546859504160292
-28.5,4.53929076816764
-27.5,4.5423291522405815
-26.5,4.555479352138764
-25.5,4.57818902216681
-24.5,4.609746128933789
-23.5,4.649133869200025
-22.5,4.694865555015986
-21.5,4.745168922770265
-20.5,4.804889628018717
-19.5,6.500420405573127
-18.5,6.35739680194186
-17.5,6.676143653995658
-16.5,8.8202447554705
-15.5,7.371877978166579
-14.5,4.914694657167969
-13.5,20.89561121670244
-12.5,7.204139231253412
-11.5,33.34140604740963
-10.5,6.783228228361566
-9.5,31.092214731955227
-8.5,7.047042596093792
-7.5,55.24815633951429
-6.5,4.866637865056126
-5.5,42.75716074917565
-4.5,5.519885050449509
-3.5,103.04292448051693
-2.5,6.47673257219391
-1.5,637.1685523213582
-0.5,1861.695848998924
0.5,1356.4932083687982
1.5,543.8808976488583
2.5,71.182519600543
3.5,62.17469618645583
4.5,22.033083746403104
5.5,44.92115110215541
6.5,14.504788848804575
7.5,33.285886181402226
8.5,24.04847011219542
9.5,41.25811502742277
10.5,83.0373636843944
11.5,225.4186746873263
12.5,238.81265139513
13.5,122.47305197656075
14.5,10.093799095272106
15.5,7.12905336854687
16.5,6.498858411802098
17.5,6.1393900795853105
18.5,5.845298126041721
19.5,5.601325035140446
20.5,5.396819266086065
21.5,5.224254570972029
22.5,5.0782674725080525
23.5,4.954938070483588
24.5,4.851328400598356
25.5,4.765190825489208
26.5,4.6947792485729725
27.5,4.638722197702456
28.5,4.595933582620449
29.5,4.565546372971149
