z,dens
-29.5,1.9357344151171925
-28.5,1.964940126142588
-27.5,2.000373102208123
-26.5,2.0426231777191792
-25.5,2.0924314636385835
-24.5,2.1507317120445384
-23.5,2.2187093588085327
-22.5,2.2978884055621296
-21.5,2.3902641818494
-20.5,2.49851589155433
-19.5,2.6263670399629473
-18.5,2.779241720256175
-17.5,2.965570285234995
-16.5,3.199693232061662
-15.5,3.5093129246476575
-14.5,3.9585970967566086
-13.5,4.74073052122263
-12.5,6.665973135619085
-11.5,12.80647510561797
-10.5,8.322380621367701
-9.5,3.4226669797213956
-8.5,13.170685495940047
-7.5,7.3264660988418
-6.5,31.454051558044146
-5.5,20.998735791640936
-4.5,46.78729412453557
-3.5,19.162272628678014
-2.5,78.2303066831324
-1.5,100.72296895823766
-0.5,1220.991846115129
0.5,2300.230576620916
1.5,869.3678358868935
2.5,91.78095754395316
3.5,16.01680077687798
4.5,1.9059132587817587
5.5,1.9676817653827612
6.5,2.2272187629218823
7.5,2.366854985537192
8.5,2.4094941716769713
9.5,2.398057517985125
10.5,2.3591732394402536
11.5,2.307752905377901
12.5,2.252019173203806
13.5,2.1964919590041196
14.5,2.143631591616689
15.5,2.094740923735773
16.5,2.050468249596385
17.5,2.0110930143114385
18.5,1.9766910813070533
19.5,1.947231870458374
20.5,1.9226362660822833
21.5,1.9028116228510077
22.5,1.8876733014856326
23.5,1.8771583042091027
24.5,1.8712343788111858
25.5,1.8699066903431265
26.5,1.8732234260816951
27.5,1.881281285732031
28.5,1.8942315959182636
29.5,1.9122877131339349
