z,dens
-29.5,1.315505302727762
-28.5,1.3227435995716308
-27.5,1.332831874677176
-26.5,1.3457508951602721
-25.5,1.361457197279426
-24.5,1.3798546494372228
-23.5,1.4007467977493369
-22.5,1.4237547133898174
-21.5,1.4481706883985983
-20.5,1.4726873834430338
-19.5,1.494872575123145
-18.5,1.5100947686426205
-17.5,1.5092130352411381
-16.5,1.4737173028824626
-15.5,1.373292793599355
-14.5,1.414197555589186
-13.5,7.4123449282826535
-12.5,9.517784587743307
-11.5,1.904261759585224
-10.5,13.523296098207803
-9.5,3.2578608505824
-8.5,13.167175580403226
-7.5,8.92543324186236
-6.5,16.829570355930404
-5.5,16.54880858186045
-4.5,47.01035853226233
-3.5,57.404698421378846
-2.5,113.77328004336252
-1.5,187.66292474843692
-0.5,1359.9708071303446
0.5,2144.3397150897613
1.5,807.3172995935907
2.5,106.67933746559125
3.5,18.538702024288927
4.5,1.7877256131448938
5.5,1.6894642312035328
6.5,1.9287880240873092
7.5,2.0047613534544215
8.5,1.9983786532182075
9.5,1.9539000077127762
10.5,1.893529492379566
11.5,1.828328824949322
12.5,1.7638004190601781
13.5,1.702622163939926
14.5,1.6460107972742122
15.5,1.5944205761770343
16.5,1.547910626680101
17.5,1.5063420266850878
18.5,1.4694849218555466
19.5,1.4370769785769795
20.5,1.4088550289935626
21.5,1.384571758613402
22.5,1.3640039932880375
23.5,1.3469562685673528
24.5,1.33326176681023
25.5,1.3227817973842388
26.5,1.3154044608208533
27.5,1.311042807553635
28.5,1.3096325767544497
29.5,1.3111294173967516
