z,dens
-29.5,0.17503215542417996
-28.5,0.1653602511808481
-27.5,0.1563217151037894
-26.5,0.1477517329770147
-25.5,0.13949624683857703
-24.5,0.13141577925057707
-23.5,0.12340584588009508
-22.5,0.11546075052957945
-21.5,0.10785478515640101
-20.5,0.10164096728690017
-19.5,0.09992138439587252
-18.5,0.11029897889508601
-17.5,0.14731245153380884
-16.5,0.2368524244280657
-15.5,0.44829930822985903
-14.5,1.0996608969681152
-13.5,5.783945059541715
-12.5,3.1214595594396983
-11.5,1.100756806203022
-10.5,1.0316063811907008
-9.5,0.6192081006800951
-8.5,1.8150121237007872
-7.5,0.29388328634966887
-6.5,2.203350943156397
-5.5,0.582434639134639
-4.5,4.321433034825671
-3.5,3.6532106057871294
-2.5,4.672066363180193
-1.5,3.5807791019902315
-0.5,12.45822379502543
0.5,12.436443982889683
1.5,62.84076031264717
2.5,128.18062868758918
3.5,256.7747447574185
4.5,558.8870747817379
5.5,615.2370235488114
6.5,656.101914328538
7.5,431.47073132047683
8.5,133.20067305577314
9.5,38.9160968090324
10.5,22.831372631230234
11.5,9.516520383818515
12.5,1.097559262733424
13.5,1.03652000137319
14.5,0.8362786490295607
15.5,0.6972763347475841
16.5,0.5953884147056824
17.5,0.5174933594800267
18.5,0.4561228962460381
19.5,0.40666013134287093
20.5,0.3660660665619781
21.5,0.3322459251448343
22.5,0.30370405836192993
23.5,0.27934206618065405
24.5,0.2583339706654032
25.5,0.24004557809813684
26.5,0.22398047801943313
27.5,0.20974273668884277
28.5,0.19701037583023553
29.5,0.18551598576580158
