z,dens
-29.5,1.0752379016676945
-28.5,1.1058710201036865
-27.5,1.1421373623762463
-26.5,1.1850388242881686
-25.5,1.2359319630906418
-24.5,1.2967057353228637
-23.5,1.3700898727558752
-22.5,1.4602255913690578
-21.5,1.5738089944838063
-20.5,1.722621226812685
-19.5,1.9298950989130197
-18.5,2.249390597784612
-17.5,2.8392126862316434
-16.5,4.398558084087407
-15.5,14.393035572447019
-14.5,36.788456865873066
-13.5,68.65026813558129
-12.5,220.81891891116325
-11.5,365.6504396834943
-10.5,418.07629459250063
-9.5,522.0808602337088
-8.5,365.159326358323
-7.5,242.50994038432108
-6.5,174.27267951490364
-5.5,81.49340108458892
-4.5,54.41143946050667
-3.5,11.964581713077049
-2.5,15.752641360310571
-1.5,2.1812661101130706
-0.5,2.7205067141989727
0.5,2.42511279434517
1.5,2.1717273315424372
2.5,1.9672292112079552
3.5,1.8014589376720789
4.5,1.6654375170724278
5.5,1.5524794435970406
6.5,1.4576998984343252
7.5,1.3774983470855757
8.5,1.3091812655722408
9.5,1.250702610586395
10.5,1.2004862001104268
11.5,1.157302902751226
12.5,1.1201844734324058
13.5,1.0883621776133816
14.5,1.0612224532001577
15.5,1.0382744905933567
16.5,1.0191263043418066
17.5,1.0034669731893902
18.5,0.9910534566791475
19.5,0.9817008913160575
20.5,0.9752756126685822
21.5,0.9716903962329959
22.5,0.9709015955632972
23.5,0.9729080064651152
24.5,0.9777514206493279
25.5,0.9855189689498285
26.5,0.9963475126029431
27.5,1.0104305470233153
28.5,1.028028375093767
29.5,1.049482750746989
