z,dens
-29.5,2.987404425780087
-28.5,3.0775727434884113
-27.5,3.18271140062265
-26.5,3.3051215639084144
-25.5,3.4477364087695785
-24.5,3.614341099170712
-23.5,3.809899300279185
-22.5,4.041055056545184
-21.5,4.31693922748031
-20.5,4.650542543626287
-19.5,5.061244051300798
-18.5,5.58001520350012
-17.5,6.262093499332091
-16.5,7.2279653351968145
-15.5,8.912689216500269
-14.5,28.906751027063716
-13.5,55.4297849702568
-12.5,149.0562775698972
-11.5,249.7105074945838
-10.5,521.0764060981948
-9.5,819.327966653372
-8.5,855.0283613550612
-7.5,712.4983066423298
-6.5,632.0431465336886
-5.5,548.8482825134677
-4.5,270.2368343395815
-3.5,155.78297124040614
-2.5,59.49378327697565
-1.5,14.03212322014972
-0.5,6.680836634335842
0.5,5.874593537909112
1.5,5.301811036161572
2.5,4.855209386806249
3.5,4.492914088219557
4.5,4.193031621657544
5.5,3.9415326876614376
6.5,3.7286028861853238
7.5,3.547062204399005
8.5,3.3915100785040995
9.5,3.257803608155381
10.5,3.1427167842526864
11.5,3.043708370202762
12.5,2.958759137124694
13.5,2.886255246732131
14.5,2.82490331186269
15.5,2.7736677667364233
16.5,2.73172431496362
17.5,2.6984252262209196
18.5,2.673273572984909
19.5,2.6559043951350465
20.5,2.646071407834906
21.5,2.6436383239969357
22.5,2.6485742103599836
23.5,2.6609525797180376
24.5,2.68095417425762
25.5,2.708873644462533
26.5,2.745130602723817
27.5,2.790285863462732
28.5,2.845064115952549
29.5,2.910384875871334
