z,dens
-29.5,2.212609941877868
-28.5,2.20985153213812
-27.5,2.2104198034688975
-26.5,2.215315202048475
-25.5,2.2253133408757426
-24.5,2.2411281255511164
-23.5,2.2635366025333417
-22.5,2.293505964883654
-21.5,2.3323672495195993
-20.5,2.3821114821028475
-19.5,2.4459781058194356
-18.5,2.5297877802442734
-17.5,2.6454313988085283
-16.5,2.8218806012182727
-15.5,3.1502651700683004
-14.5,4.037071439774742
-13.5,4.429847362110146
-12.5,2.4638101736461966
-11.5,2.4052496987160956
-10.5,4.115228082439529
-9.5,2.236563813098212
-8.5,4.243755813277394
-7.5,2.590146715919985
-6.5,8.015182079086129
-5.5,3.213505564564238
-4.5,7.704665451284222
-3.5,4.229534212724322
-2.5,7.986984984364181
-1.5,6.61689919280601
-0.5,10.513022071793163
0.5,6.970188487333648
1.5,118.77083243906173
2.5,118.59642391338463
3.5,264.45428081365645
4.5,486.2572881240749
5.5,665.7622136496976
6.5,583.6939367418815
7.5,167.49173184002962
8.5,57.91459024447825
9.5,16.372881879425346
10.5,41.20291756361007
11.5,9.177548946802629
12.5,14.682796124858196
13.5,9.002164523430915
14.5,17.820892398003462
15.5,7.2925783233936174
16.5,16.317623686235528
17.5,10.399639538705072
18.5,29.791744218854603
19.5,55.10586635143427
20.5,112.11451501879696
21.5,118.28572694090397
22.5,138.656623917811
23.5,73.88380524179792
24.5,23.719734222012786
25.5,5.768964751513395
26.5,2.2300833754099663
27.5,2.2214393743489285
28.5,2.2213152972224552
29.5,2.2172159723229017
