z,dens
-29.5,2.0367354819327113
-28.5,2.043975182641581
-27.5,2.057255097639694
-26.5,2.076771334043526
-25.5,2.102819070517887
-24.5,2.135803031352279
-23.5,2.1762521492408498
-22.5,2.2248390531789837
-21.5,2.2824050125083057
-20.5,2.3499905818539593
-19.5,2.4288707701734316
-18.5,2.5205893410468594
-17.5,2.626974874971837
-16.5,2.7500864079057488
-15.5,2.891928118836553
-14.5,3.0533950053050662
-13.5,3.2303493850863934
-12.5,3.396328851875961
-11.5,3.3926516443856225
-10.5,2.036060199042246
-9.5,6.641386825472588
-8.5,4.249020590534713
-7.5,7.34487174729877
-6.5,3.7042215200145714
-5.5,29.065802035266298
-4.5,121.14302622467274
-3.5,521.5459300642384
-2.5,1020.2591538897407
-1.5,764.2221765608098
-0.5,364.684276401117
0.5,175.9789181005387
1.5,102.7198769733083
2.5,236.15174274803744
3.5,225.36768444787012
4.5,145.72634393297466
5.5,90.51779094432352
6.5,36.28509884355248
7.5,62.749316964688255
8.5,19.921625144833996
9.5,20.443158817432366
10.5,2.0725677561722144
11.5,3.542293749442295
12.5,3.376491065393195
13.5,3.1805098783235937
14.5,2.9988675249693655
15.5,2.8396463059269603
16.5,2.702164776991912
17.5,2.5839426474396077
18.5,2.4823977739749674
19.5,2.39526153819271
20.5,2.320643816562023
21.5,2.2570014359831876
22.5,2.2030858112293292
23.5,2.1578925710378947
24.5,2.1206191768840803
25.5,2.090631148168662
26.5,2.0674359310228176
27.5,2.0506631632897108
28.5,2.0400502200375823
29.5,2.0354321651147234
