z,dens
-29.5,1.430461163807116
-28.5,1.4580906042950805
-27.5,1.490986040422171
-26.5,1.5296867055641692
-25.5,1.5748579094846884
-24.5,1.6273171083428617
-23.5,1.6880658689630308
-22.5,1.7583270735421797
-21.5,1.8395831146190589
-20.5,1.9336007266351558
-19.5,2.0423998105216277
-18.5,2.1680414645463935
-17.5,2.3118551497913002
-16.5,2.4718479356753758
-15.5,2.633586578978557
-14.5,2.7339468784616137
-13.5,2.5236088263039913
-12.5,19.56044652044823
-11.5,43.232172431579244
-10.5,171.56166565851024
-9.5,302.62875013617565
-8.5,388.73268955232714
-7.5,548.537604429172
-6.5,569.5070030180414
-5.5,479.55899522872744
-4.5,510.9287430659246
-3.5,400.63391909090836
-2.5,164.19869752267084
-1.5,40.848494966346856
-0.5,8.775519280409528
0.5,7.044102797327653
1.5,4.071021253439553
2.5,3.466284129457353
3.5,3.0567093965981798
4.5,2.75146063815961
5.5,2.512598320105803
6.5,2.32013346100824
7.5,2.1619324326008993
8.5,2.0299998873745455
9.5,1.918780215451138
10.5,1.8242657459691172
11.5,1.7434832139744127
12.5,1.6741782224885253
13.5,1.614611829505338
14.5,1.563424475055301
15.5,1.5195422443060278
16.5,1.4821107506301714
17.5,1.4504476070021717
18.5,1.4240077517050662
19.5,1.4023578860194732
20.5,1.3851575267406726
21.5,1.3721449791138869
22.5,1.363127068507054
23.5,1.357971833281579
24.5,1.3566036386027382
25.5,1.3590003602567566
26.5,1.3651924343870132
27.5,1.37526369091652
28.5,1.3893539980496636
29.5,1.407663852572478
