z,dens
-29.5,1.3154541628747454
-28.5,1.3330170277305138
-27.5,1.355097402434149
-26.5,1.3821930278058412
-25.5,1.4149793184885184
-24.5,1.4543919827773961
-23.5,1.5017748894289735
-22.5,1.559167995464956
-21.5,1.6299327819754907
-20.5,1.7203226039410628
-19.5,1.8442983932502222
-18.5,2.0433668862905803
-17.5,2.5193850380914573
-16.5,5.933396207166814
-15.5,6.170063537233153
-14.5,7.581384594829673
-13.5,4.041131959794075
-12.5,8.184764165743882
-11.5,4.731804250964519
-10.5,5.858235062099225
-9.5,2.4997554738398047
-8.5,14.903802565539337
-7.5,12.859412998815511
-6.5,20.05125677220734
-5.5,23.48026957894229
-4.5,29.86941605226479
-3.5,19.869064606171676
-2.5,55.916637540392664
-1.5,103.42029905254735
-0.5,1061.1821036724239
0.5,1673.6318559855604
1.5,634.6185782797936
2.5,89.91907346675232
3.5,24.628269246319174
4.5,7.953999551314756
5.5,1.7909201470349088
6.5,2.0008792003260627
7.5,1.986914588537118
8.5,1.9340221920696603
9.5,1.8666744670430475
10.5,1.7959878715971527
11.5,1.7273274670789964
12.5,1.6631731888721912
13.5,1.6045386101828683
14.5,1.5516969937399288
15.5,1.5045579991485893
16.5,1.4628650738468156
17.5,1.426299293574158
18.5,1.3945336820175067
19.5,1.367261054078185
20.5,1.3442076764591602
21.5,1.325139421895459
22.5,1.309864104693987
23.5,1.298232073078837
24.5,1.2901362601472286
25.5,1.285512429367485
26.5,1.2843401203198372
27.5,1.2866447186137973
28.5,1.2925011033305815
29.5,1.302039464155732
