z,dens
-29.5,3.6943479913351034
-28.5,3.71771642766595
-27.5,3.751476713053442
-26.5,3.796088265834674
-25.5,3.852171720862419
-24.5,3.920529328050423
-23.5,4.00217184555314
-22.5,4.098352780702703
-21.5,4.2106100796466155
-20.5,4.34081225522377
-19.5,4.491194781400287
-18.5,4.664331457334648
-17.5,4.862816512740005
-16.5,5.087600990877161
-15.5,5.328501154011926
-14.5,5.484091854735771
-13.5,3.8009485857165135
-12.5,16.03365929793915
-11.5,3.8422909394117517
-10.5,10.643646083731165
-9.5,7.167934247086591
-8.5,18.646953356736706
-7.5,3.6989103588971735
-6.5,35.71542439243851
-5.5,13.974269753495426
-4.5,54.64322239503078
-3.5,5.758431313485859
-2.5,82.09152287438205
-1.5,66.67649932388596
-0.5,1125.5493868909266
0.5,2140.0839846481376
1.5,806.6932780412591
2.5,114.3046273526965
3.5,3.8485388362922293
4.5,13.270764395657343
5.5,9.552349215998154
6.5,8.60585201813873
7.5,7.817413099455581
8.5,7.168565430666305
9.5,6.627968632114824
10.5,6.173350966075918
11.5,5.788057004054215
12.5,5.459354236184195
13.5,5.177391006515103
14.5,4.934471259065356
15.5,4.72452975796065
16.5,4.542747355140428
17.5,4.385266841076426
18.5,4.248981660498409
19.5,4.131377712012423
20.5,4.030414077108588
21.5,3.9444325351144287
22.5,3.872088575776926
23.5,3.812298654016974
24.5,3.7641998844468967
25.5,3.7271194196107733
26.5,3.7005515180902435
27.5,3.68414087294759
28.5,3.677671198554732
29.5,3.6810584085225586
