z,dens
-29.5,1.3917011066404912
-28.5,1.4112528913828875
-27.5,1.4347020460644393
-26.5,1.4623370687407664
-25.5,1.4945002560596925
-24.5,1.5315936222080786
-23.5,1.5740837363019358
-22.5,1.622503064879662
-21.5,1.6774424692301257
-20.5,1.7395228368574815
-19.5,1.809317787829364
-18.5,1.8871578193286733
-17.5,1.9726273161814882
-16.5,2.063179008053132
-15.5,2.1498066345104245
-14.5,2.200885872430612
-13.5,2.1043838450319607
-12.5,12.208886033043699
-11.5,1.502770478858419
-10.5,7.184469435459564
-9.5,1.3451509085324875
-8.5,18.410866001375233
-7.5,10.822871086113853
-6.5,17.490583006791457
-5.5,4.621571441199329
-4.5,22.14526606820817
-3.5,15.696746111788995
-2.5,69.32673873627287
-1.5,82.08464363400228
-0.5,966.611328463615
0.5,1912.9511545427324
1.5,700.5859733739728
2.5,46.068263925602075
3.5,12.059338086443748
4.5,2.316613338482474
5.5,1.4532217123645694
6.5,1.359910433652172
7.5,1.4595808361536147
8.5,1.534941187059966
9.5,1.5698804700253406
10.5,1.5766419587439737
11.5,1.566519338955788
12.5,1.547100850703536
13.5,1.5231507318282989
14.5,1.4976052481070539
15.5,1.4722628883690605
16.5,1.4482196374462677
17.5,1.4261376730892599
18.5,1.406411393031453
19.5,1.3892709245815276
20.5,1.374847435432702
21.5,1.363214901542118
22.5,1.3544172278757167
23.5,1.348486188265928
24.5,1.3454535932649678
25.5,1.3453598473264834
26.5,1.3482602915733388
27.5,1.3542302542714921
28.5,1.3633694344154235
29.5,1.3758060558390315
