z,dens
-29.5,1.2326429510844066
-28.5,1.2431398264903895
-27.5,1.2566079834539778
-26.5,1.2731018646659233
-25.5,1.2926628766053705
-24.5,1.315291265926354
-23.5,1.3408946913819033
-22.5,1.3691912423084174
-21.5,1.3995189138978916
-20.5,1.430440384919425
-19.5,1.458862286833526
-18.5,1.4778829907284563
-17.5,1.4709390474494475
-16.5,1.3954902622699128
-15.5,1.2199307533441677
-14.5,7.319802487091662
-13.5,2.1470734290819724
-12.5,6.247291009231867
-11.5,2.1495723771400606
-10.5,6.927383605326068
-9.5,1.9267924686727114
-8.5,14.641613987036603
-7.5,8.585236241514902
-6.5,24.243540104286485
-5.5,32.291723141557874
-4.5,45.98026777109556
-3.5,48.36564327296966
-2.5,83.39666498661586
-1.5,176.93241172744553
-0.5,1304.4894675059256
0.5,1913.3304956548257
1.5,719.7326961464579
2.5,100.35407629166592
3.5,11.72628691073863
4.5,1.3112296760531188
5.5,1.563610094872259
6.5,1.7448315315821885
7.5,1.7990765308004282
8.5,1.7887325419496922
9.5,1.7486355112922916
10.5,1.6962911213568852
11.5,1.640464558908601
12.5,1.585538961360598
13.5,1.5336571701961295
14.5,1.4857961578051302
15.5,1.4423213843225215
16.5,1.4032802300773162
17.5,1.3685604613366091
18.5,1.3379769407362228
19.5,1.3113193053280838
20.5,1.288378033643617
21.5,1.268958405148019
22.5,1.2528876423793902
23.5,1.2400182270347044
24.5,1.2302290970283631
25.5,1.2234256966318307
26.5,1.219539417849633
27.5,1.21852670053364
28.5,1.2203678701098808
29.5,1.225065630689504
