z,dens
-29.5,0.6815317422909727
-28.5,0.7118176229220006
-27.5,0.7471072166368959
-26.5,0.7884240141479378
-25.5,0.8371098554724874
-24.5,0.8949579122049243
-23.5,0.9644171613960694
-22.5,1.0489180397237907
-21.5,1.1534125979980347
-20.5,1.2853164308322638
-19.5,1.4562661112203399
-18.5,1.6857719868254817
-17.5,2.0107111799182436
-16.5,2.528601257432405
-15.5,4.090373245338147
-14.5,19.33654997328066
-13.5,110.41006343320461
-12.5,255.0931134795161
-11.5,364.14761233907296
-10.5,463.6375161641827
-9.5,491.8009043560174
-8.5,395.48753662667605
-7.5,375.5882685677681
-6.5,372.1628418321974
-5.5,324.289652559595
-4.5,233.2721345057918
-3.5,80.08171511563197
-2.5,52.706903119851496
-1.5,18.33750609933549
-0.5,12.67773469081582
0.5,5.643266696093043
1.5,9.054591075779724
2.5,5.063785287279447
3.5,2.0509338704261246
4.5,0.8392124355995777
5.5,1.8402955186719352
6.5,1.1057794238972547
7.5,1.8144059180805956
8.5,1.0438404034701898
9.5,1.7395493668693696
10.5,1.076385896390828
11.5,1.6257810535267163
12.5,1.2862702169488645
13.5,2.519473252418488
14.5,4.604297418588318
15.5,5.649405119755797
16.5,3.942485936676934
17.5,4.000602927739442
18.5,3.969803215684526
19.5,1.3543845816333666
20.5,1.6975362757482557
21.5,0.8966158153166485
22.5,0.5632122118335743
23.5,0.5588036071955446
24.5,0.5696709060185553
25.5,0.5822641796894852
26.5,0.5967651199640885
27.5,0.6135376563213139
28.5,0.6329594780335045
29.5,0.6554550260325945
