z,dens
-29.5,2.2277211761712516
-28.5,2.2950908431004517
-27.5,2.373643913405229
-26.5,2.4650995616221536
-25.5,2.571648961509954
-24.5,2.696120062797093
-23.5,2.8422234713411605
-22.5,3.0149345604506768
-21.5,3.2211213004154953
-20.5,3.4706625139387746
-19.5,3.778703065157129
-18.5,4.171210962257901
-17.5,4.703982217967593
-16.5,5.573599403491612
-15.5,8.839726507620773
-14.5,26.284316834253097
-13.5,126.72279485360913
-12.5,134.82493830279964
-11.5,181.76988957439482
-10.5,311.86855459318076
-9.5,568.2639188651528
-8.5,627.5030452691561
-7.5,587.6675175711264
-6.5,671.6943221656829
-5.5,636.0487916565355
-4.5,409.9327037867933
-3.5,132.2360436475278
-2.5,43.10556283187872
-1.5,5.629810102913579
-0.5,6.879615454439989
0.5,4.1573285779307065
1.5,3.9342660206753646
2.5,3.6148391577827126
3.5,3.3489656438804163
4.5,3.1267208235589825
5.5,2.9395348171921105
6.5,2.7807394719524603
7.5,2.6452264450668834
8.5,2.5290650576844556
9.5,2.4292032075008607
10.5,2.343248073167674
11.5,2.2693073426849857
12.5,2.2058739544729886
13.5,2.151741788495152
14.5,2.105943465020583
15.5,2.067704104091563
16.5,2.036406772255478
17.5,2.0115666333490894
18.5,1.9928117129217142
19.5,1.979868811872978
20.5,1.9725535529755622
21.5,1.970763874566592
22.5,1.9744765406613327
23.5,1.9837464462298717
24.5,1.998708683799659
25.5,2.019583523310672
26.5,2.046684661851645
27.5,2.0804313478564405
28.5,2.1213653080291524
29.5,2.1701738522674843
