z,dens
-29.5,1.2078226281653532
-28.5,1.176754493339074
-27.5,1.157737652772321
-26.5,1.1510065930327877
-25.5,1.1576974525168826
-24.5,1.1801725937242495
-23.5,1.2226927860245995
-22.5,1.292819351996035
-21.5,1.4045643183214174
-20.5,1.5864007872983905
-19.5,1.905632197869511
-18.5,2.563926878000827
-17.5,4.39784642604195
-16.5,11.994283322209299
-15.5,11.137016082172392
-14.5,3.25114716406802
-13.5,22.146261570728562
-12.5,36.0720792741376
-11.5,12.635841368814187
-10.5,16.381063141377076
-9.5,12.008347609602232
-8.5,14.72888623703961
-7.5,14.47033760380962
-6.5,24.871629989410703
-5.5,68.66732134851722
-4.5,135.37567905579985
-3.5,290.9450333807137
-2.5,459.00662801431776
-1.5,494.6317286592883
-0.5,206.47562470376744
0.5,43.814714622382255
1.5,30.228503134838586
2.5,23.40246195299466
3.5,16.231909577007567
4.5,16.977922050803755
5.5,22.023934526559515
6.5,16.844045605822487
7.5,18.011927612367067
8.5,15.685761983708016
9.5,17.934797783212677
10.5,15.673727817831292
11.5,45.89796589296293
12.5,74.87651593393477
13.5,163.9097127410651
14.5,281.0385818714722
15.5,206.34896659246536
16.5,132.062735104572
17.5,113.0064772618171
18.5,119.58915198953486
19.5,70.75188709768324
20.5,36.49851274847908
21.5,4.067772512856031
22.5,2.1448001684508093
23.5,1.9037493192684927
24.5,1.7335164800866238
25.5,1.5906850279754947
26.5,1.475065351857631
27.5,1.3825066896782097
28.5,1.3089974589243318
29.5,1.2514746717752054
