z,dens
-29.5,1.3764807925939069
-28.5,1.4014414861730886
-27.5,1.430942142233708
-26.5,1.4655462445219674
-25.5,1.50598327392619
-24.5,1.5532250930128937
-23.5,1.6086264607118264
-22.5,1.6742080907834125
-21.5,1.7533038297340524
-20.5,1.85231592739189
-19.5,1.98679919313618
-18.5,2.213013654834256
-17.5,3.0159414948053556
-16.5,15.35681172408309
-15.5,13.703054794752946
-14.5,13.13522600696381
-13.5,10.453871652657465
-12.5,3.9188206512263632
-11.5,26.445035398344846
-10.5,47.86765360631305
-9.5,84.33707317989916
-8.5,51.7458202605533
-7.5,136.01875535268866
-6.5,223.4280859190061
-5.5,244.230009993954
-4.5,340.84900363272834
-3.5,677.6700012435523
-2.5,654.3922550532486
-1.5,322.58171754835575
-0.5,120.24587092018422
0.5,33.872739219885645
1.5,32.427896573144636
2.5,5.246039701923977
3.5,11.724626625235118
4.5,3.378454670958713
5.5,10.273335863843144
6.5,3.904893817394674
7.5,8.989703394265605
8.5,3.892848396325142
9.5,8.833450197237651
10.5,5.986677011562723
11.5,12.25850331139596
12.5,6.7916504721622415
13.5,28.93360403085058
14.5,99.2403503573982
15.5,100.9582576317093
16.5,60.31209352306457
17.5,49.070130602969364
18.5,16.986735960084694
19.5,1.7538831674665385
20.5,1.4841758033363355
21.5,1.3626216581688635
22.5,1.3223643186330245
23.5,1.308520385410739
24.5,1.305412492844586
25.5,1.3080553444771164
26.5,1.314746106508477
27.5,1.3249317984582498
28.5,1.3385170427937847
29.5,1.3556193432152865
